"","pol_ok","color","bw","cond","prolific_id","age","gender"
"1","DEM",53.8,38,"core","6286c2dfba83b26f3e8f7bb5",25,"Non-binary / third gender"
"2","DEM",52,50,"core","643ab9200b81b8a5313adf17",61,"Male"
"3","DEM",57,45.8,"core","5d226ccd072b44001aaec601",36,"Female"
"4","DEM",44.8,25,"core","5e307edef5abed05e1736185",41,"Female"
"5","DEM",76.6,47,"core","62e02dd0f627ebffb011a0f6",37,"Female"
"6","DEM",56.8,52.4,"core","60fc91937ebd7bf510751ab3",20,"Female"
"7","DEM",73,64.4,"core","558ab509fdf99b65685f024e",37,"Male"
"8","DEM",35,25.8,"core","5d5b063e4c0011001904de43",34,"Female"
"9","DEM",72.8,42.8,"core","5dc0cc1f317aa4076275ddf9",25,"Female"
"10","DEM",85,71,"core","5fc27b5a13285c0008cc71ab",63,"Female"
"11","DEM",73.2,69.4,"core","5c56687227d2cd0001966c15",41,"Male"
"12","DEM",29.4,28,"core","63d71022458d51f8b3b9ce84",46,"Female"
"13","DEM",57.6,37.8,"core","630ab689392291ba70d7fd3d",21,"Male"
"14","DEM",80.2,47.2,"core","5d825b67d27dc700019110ac",37,"Female"
"15","DEM",51.2,39.6,"core","62fe6312269d0e4ae894297b",32,"Male"
"16","DEM",36.6,26.8,"core","5dc1c27fb3e5c212018d9e33",35,"Male"
"17","DEM",94.8,92,"core","613d46227c08cd3ecf3b0845",21,"Male"
"18","DEM",37.2,34.6,"core","6228f35da2410161a1221ac0",65,"Male"
"19","DEM",82,77,"core","59b9e2d3d9ebf90001840905",46,"Female"
"20","DEM",71,61,"core","63d7c8b24017a56bcc3affe2",51,"Female"
"21","DEM",60,36.8,"core","558af269fdf99b7dfef4d7bd",28,"Female"
"22","DEM",65.4,54.6,"core","6279c1daff96f85ae66373e0",36,"Female"
"23","DEM",76.2,48,"core","6108e0b9b254d1ce92a37b95",32,"Female"
"24","DEM",82,66.2,"core","604dff87be5115f1266d3963",60,"Male"
"25","DEM",73,30.4,"core","5ddd7db419eecbce5c2dbc6f",34,"Female"
"26","DEM",60.8,27,"core","61001f1b2e14b11d45ac093b",21,"Female"
"27","DEM",66.8,66,"core","63891bdb3ba6ac10865528f3",63,"Male"
"28","DEM",57.4,60.8,"core","5bd6b1636546650001036115",31,"Male"
"29","DEM",25.4,26.6,"core","62c55b19972274a6876f7627",30,"Male"
"30","DEM",50,28,"core","61083e5698eeef908c2d90c4",22,"Female"
"31","DEM",70.6,70.8,"core","6110b7bc1399b88a9243879e",20,"Female"
"32","DEM",56.6,44.8,"core","637eb25c87f98741f9619017",18,"Male"
"33","DEM",25.4,23.4,"core","6125b040ffa3c0b9e67b92c9",26,"Male"
"34","DEM",56,36.2,"core","5ba8e2d9127ccd0001b2e3cd",28,"Male"
"35","DEM",72.8,72,"core","6306679aefe2197ff06b2621",22,"Female"
"36","DEM",57.8,56.8,"core","5ec81f94ce3f412db210602c",35,"Female"
"37","DEM",65.8,59,"core","61007de25d1a5d74904865cd",28,"Female"
"38","DEM",27,13,"core","63ef5d25e9b2814388fe79d4",22,"Male"
"39","DEM",70,44.8,"core","60171277d472ae2062db3a35",38,"Female"
"40","DEM",33.4,25.4,"core","63d8956a043a2db1a5629061",38,"Male"
"41","DEM",56,48,"core","60ffab53df5c85e6d106a0d1",24,"Female"
"42","DEM",26.2,5,"core","6107720cff13015082b48f4a",23,"Male"
"43","DEM",34.4,34.6,"core","5d5be747b80b900015eda31e",33,"Female"
"44","DEM",52,46.2,"core","574dc90512d86b000f833ab0",36,"Male"
"45","DEM",90.2,52.8,"core","60ff78f6695b4e27b7eb17bb",25,"Female"
"46","DEM",69.2,45.4,"core","558966d3fdf99b74158d780d",39,"Male"
"47","DEM",71.4,53,"core","60e37439f7c69f9e2d4466eb",59,"Female"
"48","DEM",60.6,37.2,"core","565c931eba63db00051cd52d",30,"Male"
"49","DEM",34,27,"core","6130c9c7f70b6f67907d58d5",36,"Female"
"50","DEM",64.4,54.2,"core","62e42b7d3f1250f392bbb13e",30,"Male"
"51","DEM",42.4,39,"core","592f09f14217c40001a76e8e",44,"Male"
"52","DEM",46.8,24,"core","5484739ffdf99b0379939c95",34,"Female"
"53","DEM",75.4,50.2,"core","5d924b1fc48e5f0017ad2579",38,"Male"
"54","DEM",72,52.4,"core","63d1c1b521f75a8a9f14160f",51,"Female"
"55","DEM",83.4,74.4,"core","5ab09384e1546900019b154c",25,"Female"
"56","DEM",68.6,61.8,"core","5f89906b2a26920554a2c651",43,"Female"
"57","DEM",79.4,62.4,"core","628d5c6294846b1814f25d7e",55,"Female"
"58","DEM",56.4,31,"core","58a5cf959e040a0001399f07",30,"Female"
"59","DEM",100,100,"core","611db293a6a5db20c47ab430",53,"Female"
"60","DEM",61,17.8,"core","628f827eeb876ed2617881e7",32,"Male"
"61","DEM",64.6,37.8,"core","5cb0cfc643e80b00010a384b",39,"Female"
"62","DEM",38.6,35.2,"core","628c2454c8c66010dd87391d",32,"Male"
"63","DEM",38.4,28.4,"core","5abc3250a3ba7a0001b44c37",27,"Male"
"64","DEM",56,38.6,"core","63a92e2605e59f352e566b83",49,"Female"
"65","DEM",90,81,"core","5fdbdc853ce8060db67cf718",50,"Female"
"66","DEM",51.8,38,"core","626c97fd7c909c3ae9d5a5b2",52,"Female"
"67","DEM",62.8,46.6,"core","62fcdbdd2bc88e5f058ca548",45,"Male"
"68","DEM",68,52,"core","5d49e0a96f4b310001c124bf",43,"Female"
"69","DEM",46.4,61.8,"core","628670c8e05972777725990b",33,"Male"
"70","DEM",24.6,12.8,"core","5c75471e5eb59f000131c7a4",39,"Female"
"71","DEM",43.4,44.2,"core","5f0144a4a28292298e381c49",21,"Female"
"72","DEM",62.4,65.8,"core","614f9a284f135b4da3329968",28,"Female"
"73","DEM",85.2,60.2,"core","60fdc73e9fc2f113dc1ff96d",26,"Female"
"74","DEM",74.6,43.6,"core","614cd9dba2dad462039739cf",19,"Female"
"75","DEM",57.2,40,"core","615dd1eb2702a672f7db49f1",37,"Female"
"76","DEM",74,53.2,"core","63d2d8a78197f0f6168543b1",57,"Female"
"77","DEM",42.4,30.4,"core","6400daa477149fbfbc36f6c3",39,"Female"
"78","DEM",40.4,15.2,"core","5f3af0d80bf2cb7a4b024a91",31,"Male"
"79","DEM",69.6,51.4,"core","6101930ddd5330f83b898c61",21,"Female"
"80","DEM",57,47.2,"core","5ebca40606c6fe000da5f510",24,"Male"
"81","DEM",30.8,16.2,"core","5e93e2a7a5de13720dffc7f9",46,"Male"
"82","DEM",63.8,55.6,"core","629e174501ca06c57849b55a",33,"Female"
"83","DEM",96,96,"core","5fc2a5c0ddfca10169395662",41,"Female"
"84","DEM",78.8,61.2,"core","5f1319143fdcd700091a41d4",33,"Female"
"85","DEM",86.6,84,"core","605220735560745cf0a16a80",43,"Female"
"86","DEM",67.6,37.8,"core","5c1ebf5f658e9200017ae7e9",45,"Female"
"87","DEM",23,17,"core","633c7424294f7a26710ca395",38,"Male"
"88","DEM",57.8,44.6,"core","610844f642f52bbd2a4cbdcf",20,"Female"
"89","DEM",37.6,36.2,"core","5bf1f1cd7c3874000169ea98",60,"Female"
"90","DEM",22.4,22.4,"core","6111a6b56d3930e2472cc673",54,"Female"
"91","DEM",61.6,47.4,"core","581649f0b434f0000184d2a9",30,"Female"
"92","DEM",28,17.8,"core","5fee8b79937861cc10dff60f",25,"Female"
"93","DEM",69.6,63.2,"core","61644b17ec9f97f7485d5624",28,"Female"
"94","DEM",49.4,37.4,"core","63d570d979c31656fece7c7d",64,"Male"
"95","REP",48.4,25.8,"core","60528727a8bd70153578f03a",37,"Male"
"96","REP",60.6,61.6,"core","5e9fc65dee2ccf178f0e413f",54,"Female"
"97","REP",33.2,22.2,"core","6108708cc133f82c35c00f12",25,"Female"
"98","REP",36.6,27.8,"core","632dd45fb49858b31338c11c",41,"Male"
"99","REP",67.4,60.6,"core","5d54b73f1c1de70015d50959",39,"Female"
"100","REP",77.2,71.2,"core","642ae58a4893939dd32fd402",65,"Female"
"101","REP",77,72,"core","638bb18e1bd657c755e5148f",52,"Female"
"102","REP",54.4,49,"core","616c4f1eacaf6dcc36160230",50,"Male"
"103","REP",45.2,45.2,"core","5c800507a1d4b900114f28c4",31,"Male"
